Date,Close,High,Low,Open,Volume
2026-04-22,1222795.5,1232793.8278822568,1194800.1819296812,1226794.8311529027,2894919
2026-04-23,1224795.25,1266788.23,1182802.27,1219796.0857142857,5343871
2026-04-24,1221795.75,1241792.4071194762,1192800.5971767595,1236793.2428396072,3127857
2026-04-27,1291784.0,1316779.8204334367,1248791.1888544892,1252790.5201238391,4563073
2026-04-28,1299782.625,1327777.943076923,1295783.293846154,1312780.45125,3002713
2026-04-29,1292783.875,1316779.8633990719,1280785.880800464,1283785.3793503481,3001208
2026-04-30,1285785.0,1324778.4797822705,1285785.0,1311780.6531881804,3342342
2026-05-04,1446758.125,1449757.6235314445,1332777.180805114,1338776.1778680028,5776641
2026-05-06,1600732.375,1613730.2019050594,1556739.7300905683,1589734.213772642,6631934
2026-05-07,1653723.5,1664721.6611245465,1566738.0438331317,1621728.8494558646,5860618
2026-05-08,1685718.125,1688717.6234430603,1590734.0076364174,1590734.0076364174,4278087
2026-05-11,1879685.625,1948674.086768617,1825694.6549202127,1832693.484375,7433039
2026-05-12,1834693.25,1966671.1840599454,1803698.4321525884,1943675.0288828337,9160593
2026-05-13,1975669.625,1989667.2842864373,1780702.2277960526,1780702.2277960526,7126921
2026-05-14,1969670.625,1993666.6123096447,1936676.1424492386,1975669.6218274112,6040068
2026-05-15,1818695.875,1994666.4489417262,1788700.8908053876,1949673.9726498076,7485233
2026-05-18,1839692.375,1896682.8453125,1730710.5984375,1779702.40625,6481608
2026-05-19,1744708.25,1822695.209025788,1739709.0859598853,1790700.5591690545,4575855
2026-05-20,1744708.25,1777702.7326647565,1689717.4455587391,1742708.584383954,5535123
2026-05-21,1939675.625,1953673.2841494845,1795699.7023195876,1800698.8663015463,5096690
2026-05-22,1940675.5,1951673.6609994848,1911680.3482740854,1941675.332818135,3135190
2026-05-26,2051656.875,2086651.0224780703,2005664.566885965,2007664.2324561405,4903591
2026-05-27,2242625.0,2357605.7735176105,2199632.189032546,2278618.981275078,7545783
2026-05-28,2289000.0,2305000.0,2151000.0,2189000.0,6229499
